"TOA5","Pinyon1","CR1000X","12170","CR1000X.Std.03.02","CPU:PinyonSensorsDec11.CR1X","6924","Table2"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Min","PTemp_C_TMn","PTemp_C_Max","PTemp_C_TMx","AirTC_Max","AirTC_TMx","AirTC_Min","AirTC_TMn","RH_Max","RH_TMx","RH_Min","RH_TMn","Rain_mm_Tot"
"TS","RN","Volts","Deg C","","Deg C","","Deg C","","Deg C","","%","","%","","mm"
"","","Min","Min","TMn","Max","TMx","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Tot"
"2019-12-13 00:00:00",0,12.79,4.965,"2019-12-13 00:00:00",21.83,"2019-12-12 16:00:00",14.2,"2019-12-12 15:40:00",5.532,"2019-12-12 21:10:00",66.27,"2019-12-12 21:10:00",38.78,"2019-12-12 16:00:00",0
"2019-12-14 00:00:00",1,12.76,4.5,"2019-12-13 02:20:00",24.43,"2019-12-13 14:50:00",21.49,"2019-12-13 13:40:00",7.56,"2019-12-13 00:30:00",59.9,"2019-12-13 19:50:00",28.8,"2019-12-13 12:50:00",0
"2019-12-15 00:00:00",2,12.98,6.928,"2019-12-15 00:00:00",20.71,"2019-12-14 15:50:00",15.97,"2019-12-14 12:20:00",6.021,"2019-12-14 21:20:00",82.6,"2019-12-14 21:20:00",31.47,"2019-12-14 12:50:00",0
"2019-12-16 00:00:00",3,13.02,-1.066,"2019-12-16 00:00:00",19.89,"2019-12-15 15:00:00",10.55,"2019-12-15 12:00:00",-1.098,"2019-12-15 23:10:00",68,"2019-12-15 00:20:00",21.88,"2019-12-15 15:10:00",0
"2019-12-17 00:00:00",4,13.02,-2.315,"2019-12-17 00:00:00",16.67,"2019-12-16 15:00:00",6.918,"2019-12-16 13:30:00",-1.623,"2019-12-16 21:30:00",53.34,"2019-12-16 00:20:00",25.15,"2019-12-16 12:10:00",0
"2019-12-18 00:00:00",5,13,-7.337,"2019-12-17 07:10:00",13.78,"2019-12-17 14:50:00",6.616,"2019-12-17 12:20:00",-4.015,"2019-12-17 06:30:00",46.69,"2019-12-17 02:10:00",13.97,"2019-12-17 13:50:00",0
"2019-12-19 00:00:00",6,12.99,-7.861,"2019-12-18 07:00:00",15.87,"2019-12-18 15:10:00",8.82,"2019-12-18 11:50:00",-3.764,"2019-12-18 06:20:00",43.53,"2019-12-18 21:40:00",15.46,"2019-12-18 11:50:00",0
"2019-12-20 00:00:00",7,12.99,-5.567,"2019-12-19 03:00:00",19.38,"2019-12-19 13:50:00",11.6,"2019-12-19 12:20:00",-1.549,"2019-12-19 02:30:00",56.39,"2019-12-19 06:50:00",17.86,"2019-12-19 11:00:00",0
"2019-12-21 00:00:00",8,13,-3.013,"2019-12-20 07:00:00",21.69,"2019-12-20 14:20:00",13.97,"2019-12-20 12:40:00",0.669,"2019-12-20 06:00:00",41.45,"2019-12-20 06:00:00",15.79,"2019-12-20 12:20:00",0
"2019-12-22 00:00:00",9,13,-2.465,"2019-12-21 06:40:00",20.88,"2019-12-21 13:30:00",14.18,"2019-12-21 12:50:00",1.692,"2019-12-21 03:50:00",44.18,"2019-12-21 17:00:00",19.62,"2019-12-21 12:00:00",0
