"TOA5","Pinyon3","CR1000X","12171","CR1000X.Std.03.02","CPU:PinyonSensorsDec11.CR1X","539","Table1"
"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","AirTC_Avg","RH","VW_Avg","PA_uS_Avg","VW_2_Avg","PA_uS_2_Avg","T108_C_Avg","T108_C_2_Avg","Rain_mm_Tot","VW_3_Avg","PA_uS_3_Avg","VW_4_Avg","PA_uS_4_Avg","T108_C_3_Avg","T108_C_4_Avg"
"TS","RN","Volts","Deg C","Deg C","%","","uSec","","uSec","Deg C","Deg C","mm","","uSec","","uSec","Deg C","Deg C"
"","","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-12-11 18:00:00",0,12.87,11.67,4.641,64.58,0.13,21.84,0.055,18.41,8.66,7.684,0,0.102,20.63,0.078,19.53,9.56,11.52
"2019-12-11 19:00:00",1,12.87,8.84,4.457,59.65,0.13,21.82,0.055,18.39,7.771,6.421,0,0.102,20.63,0.077,19.5,7.343,10.87
"2019-12-11 20:00:00",2,12.87,7.223,4.721,53.75,0.129,21.81,0.054,18.38,7.044,5.636,0,0.101,20.62,0.077,19.48,6.183,10.21
"2019-12-11 21:00:00",3,12.86,6.247,4.788,53.82,0.129,21.79,0.054,18.38,6.542,5.165,0,0.101,20.61,0.076,19.47,5.507,9.65
"2019-12-11 22:00:00",4,12.86,5.208,4.61,56.51,0.128,21.78,0.054,18.38,6.119,4.695,0,0.101,20.6,0.076,19.45,4.795,9.18
"2019-12-11 23:00:00",5,12.86,4.547,4.913,51.43,0.128,21.77,0.054,18.37,5.76,4.384,0,0.101,20.59,0.076,19.44,4.449,8.76
"2019-12-12 00:00:00",6,12.86,4.527,6.24,53.1,0.128,21.76,0.054,18.38,5.499,4.238,0,0.101,20.59,0.076,19.44,4.254,8.41
"2019-12-12 01:00:00",7,12.86,4.721,6.597,52.85,0.128,21.75,0.054,18.38,5.386,4.317,0,0.101,20.58,0.076,19.44,4.438,8.13
"2019-12-12 02:00:00",8,12.85,4.004,5.446,53.86,0.128,21.74,0.054,18.38,5.243,4.034,0,0.1,20.58,0.076,19.43,3.85,7.919
"2019-12-12 03:00:00",9,12.85,4.12,6.157,51.5,0.127,21.73,0.054,18.38,5.064,3.977,0,0.1,20.57,0.075,19.43,3.88,7.689
"2019-12-12 04:00:00",10,12.85,4.429,6.142,58.34,0.127,21.73,0.054,18.39,5.039,4.108,0,0.1,20.57,0.075,19.42,4.135,7.51
"2019-12-12 05:00:00",11,12.85,4.131,5.432,56.63,0.127,21.73,0.054,18.38,5.003,4.036,0,0.1,20.56,0.075,19.42,3.938,7.384
"2019-12-12 06:00:00",12,12.85,3.955,5.854,54.44,0.127,21.72,0.054,18.38,4.9,3.884,0,0.1,20.56,0.075,19.42,3.628,7.249
"2019-12-12 07:00:00",13,12.85,3.328,4.232,54.52,0.127,21.72,0.054,18.37,4.756,3.627,0,0.1,20.56,0.075,19.41,3.183,7.094
"2019-12-12 08:00:00",14,12.85,4.182,7.404,47.42,0.127,21.71,0.054,18.38,4.601,3.619,0,0.1,20.55,0.075,19.41,3.565,6.92
"2019-12-12 09:00:00",15,12.84,9.49,11.1,31.32,0.127,21.71,0.055,18.41,4.823,4.544,0,0.1,20.54,0.076,19.43,6.003,6.858
"2019-12-12 10:00:00",16,12.84,20.73,14.21,32.16,0.127,21.71,0.056,18.44,5.364,5.57,0,0.1,20.54,0.076,19.46,10.06,7.108
"2019-12-12 11:00:00",17,12.85,28.18,14.28,32.93,0.127,21.72,0.057,18.5,6.128,6.985,0,0.1,20.55,0.077,19.49,14.73,7.786
"2019-12-12 12:00:00",18,12.85,29.76,14.37,35.41,0.128,21.75,0.058,18.56,7.578,9.57,0,0.1,20.56,0.078,19.53,18.53,8.89
"2019-12-12 13:00:00",19,12.85,28.86,14.11,37.7,0.129,21.79,0.059,18.59,9.36,12.05,0,0.1,20.58,0.078,19.56,20.7,10.2
"2019-12-12 14:00:00",20,12.86,26.55,14.38,36.51,0.13,21.83,0.058,18.58,10.84,13.43,0,0.101,20.59,0.079,19.58,20.92,11.42
"2019-12-12 15:00:00",21,12.86,24,14.36,38.54,0.13,21.86,0.058,18.56,11.69,13.89,0,0.101,20.62,0.079,19.59,20.54,12.32
"2019-12-12 16:00:00",22,12.87,22.34,13.66,38.51,0.131,21.88,0.057,18.53,12.05,13.58,0,0.102,20.63,0.079,19.59,19.74,12.92
"2019-12-12 17:00:00",23,12.87,19.1,11.78,56.7,0.131,21.88,0.056,18.46,11.7,12.15,0,0.102,20.65,0.079,19.57,16.59,13.21
"2019-12-12 18:00:00",24,12.87,14.17,6.984,62.58,0.131,21.88,0.055,18.41,10.87,10.39,0,0.102,20.66,0.078,19.54,12.63,12.98
"2019-12-12 19:00:00",25,12.87,11.18,5.951,66.53,0.13,21.86,0.054,18.38,9.93,8.96,0,0.102,20.65,0.077,19.51,10.18,12.39
"2019-12-12 20:00:00",26,12.86,9.19,5.369,69.53,0.13,21.84,0.054,18.36,9.11,7.877,0,0.102,20.64,0.077,19.48,8.53,11.72
"2019-12-12 21:00:00",27,12.86,7.747,5.119,68.08,0.13,21.82,0.054,18.35,8.4,7.036,0,0.102,20.63,0.076,19.46,7.3,11.1
"2019-12-12 22:00:00",28,12.86,6.688,5.902,49.5,0.129,21.8,0.054,18.34,7.794,6.365,0,0.101,20.62,0.076,19.45,6.367,10.53
"2019-12-12 23:00:00",29,12.86,6.312,6.746,57.59,0.129,21.79,0.054,18.34,7.3,5.905,0,0.101,20.6,0.076,19.43,5.758,10.02
"2019-12-13 00:00:00",30,12.86,5.62,7.164,49.1,0.128,21.77,0.053,18.33,6.891,5.488,0,0.101,20.6,0.075,19.42,5.25,9.58
"2019-12-13 01:00:00",31,12.85,5.231,7.754,43.24,0.128,21.76,0.053,18.33,6.545,5.186,0,0.101,20.59,0.075,19.41,4.91,9.18
"2019-12-13 02:00:00",32,12.85,5.21,9.28,50.79,0.128,21.74,0.053,18.33,6.281,5.027,0,0.101,20.58,0.075,19.41,4.793,8.85
"2019-12-13 03:00:00",33,12.85,5.16,10.58,40.99,0.128,21.74,0.053,18.33,6.074,4.895,0,0.1,20.57,0.075,19.41,4.679,8.56
"2019-12-13 04:00:00",34,12.85,6.625,13.23,38.29,0.127,21.73,0.054,18.35,6.031,5.244,0,0.1,20.56,0.075,19.41,5.317,8.34
"2019-12-13 05:00:00",35,12.85,8.32,13.32,43.83,0.127,21.72,0.054,18.36,6.188,5.669,0,0.1,20.56,0.075,19.41,5.89,8.23
"2019-12-13 06:00:00",36,12.85,8.23,12.47,43.29,0.127,21.72,0.054,18.36,6.279,5.703,0,0.1,20.56,0.075,19.41,5.81,8.19
"2019-12-13 07:00:00",37,12.85,7.042,10.5,44.34,0.127,21.72,0.054,18.34,6.231,5.436,0,0.1,20.55,0.075,19.4,5.222,8.12
"2019-12-13 08:00:00",38,12.85,8.46,12.8,31.38,0.127,21.72,0.054,18.35,6.079,5.338,0,0.1,20.55,0.075,19.4,5.125,7.986
"2019-12-13 09:00:00",39,12.85,17.15,15.23,30.37,0.127,21.71,0.054,18.37,6.15,5.822,0,0.1,20.54,0.075,19.42,7.457,7.893
"2019-12-13 10:00:00",40,12.85,25.51,17.05,32.36,0.127,21.71,0.055,18.39,6.482,6.637,0,0.1,20.54,0.076,19.45,12.09,8.14
"2019-12-13 11:00:00",41,12.85,29.67,19.9,28.35,0.127,21.72,0.056,18.46,7.274,8.48,0,0.1,20.55,0.077,19.48,16.1,8.9
"2019-12-13 12:00:00",42,12.85,30.61,20.42,29.87,0.128,21.74,0.057,18.53,8.96,11.47,0,0.1,20.56,0.077,19.51,19.15,10
"2019-12-13 13:00:00",43,12.86,30.55,20.86,27.11,0.129,21.78,0.058,18.55,10.87,14.07,0,0.1,20.58,0.078,19.53,21.15,11.21
"2019-12-13 14:00:00",44,12.86,30.34,20.62,30.82,0.13,21.82,0.058,18.55,12.53,15.81,0,0.101,20.59,0.078,19.55,22.16,12.37
"2019-12-13 15:00:00",45,12.87,27.98,19.99,32.13,0.13,21.86,0.057,18.53,13.61,16.41,0,0.101,20.61,0.078,19.56,21.91,13.33
"2019-12-13 16:00:00",46,12.87,24.9,17.94,40.89,0.131,21.88,0.056,18.48,13.94,15.65,0,0.102,20.63,0.078,19.56,20.28,13.95
"2019-12-13 17:00:00",47,12.87,20.73,14.7,54.72,0.131,21.88,0.055,18.42,13.43,13.99,0,0.102,20.64,0.078,19.54,17.22,14.13
"2019-12-13 18:00:00",48,12.87,16.82,12.62,57.63,0.131,21.87,0.054,18.38,12.58,12.35,0,0.102,20.64,0.077,19.51,14.01,13.85
"2019-12-13 19:00:00",49,12.87,14.56,12.24,57.05,0.13,21.86,0.054,18.35,11.69,11.06,0,0.102,20.64,0.077,19.48,12.05,13.3
"2019-12-13 20:00:00",50,12.87,13.28,11.68,56.65,0.13,21.84,0.054,18.33,10.97,10.21,0,0.102,20.63,0.076,19.46,10.95,12.74
"2019-12-13 21:00:00",51,12.87,12.4,12.21,56.88,0.13,21.82,0.053,18.32,10.39,9.57,0,0.101,20.62,0.076,19.45,10.19,12.24
"2019-12-13 22:00:00",52,12.87,11.77,12.75,51.74,0.129,21.81,0.053,18.32,9.94,9.11,0,0.101,20.61,0.076,19.44,9.51,11.82
"2019-12-13 23:00:00",53,12.86,11.27,12.99,55.15,0.129,21.8,0.053,18.32,9.57,8.78,0,0.101,20.6,0.076,19.43,9.04,11.44
"2019-12-14 00:00:00",54,12.86,10.93,12.18,58.3,0.129,21.79,0.053,18.31,9.29,8.51,0,0.101,20.6,0.075,19.42,8.68,11.11
"2019-12-14 01:00:00",55,12.86,10.15,11.46,65.98,0.128,21.77,0.053,18.31,9,8.15,0,0.101,20.59,0.075,19.41,8.18,10.82
"2019-12-14 02:00:00",56,12.86,9.34,9.92,67.1,0.128,21.76,0.053,18.3,8.69,7.724,0,0.101,20.58,0.075,19.41,7.687,10.53
"2019-12-14 03:00:00",57,12.86,9.09,10.17,67.78,0.128,21.75,0.053,18.3,8.39,7.467,0,0.1,20.57,0.075,19.4,7.528,10.26
"2019-12-14 04:00:00",58,12.86,8.88,10.48,61,0.128,21.74,0.053,18.3,8.2,7.338,0,0.1,20.57,0.075,19.4,7.398,10.02
"2019-12-14 05:00:00",59,12.85,9.07,10.87,66.14,0.127,21.74,0.053,18.3,8.05,7.296,0,0.1,20.56,0.075,19.39,7.376,9.83
"2019-12-14 06:00:00",60,12.85,8.64,9.68,69.3,0.127,21.73,0.053,18.3,7.94,7.128,0,0.1,20.56,0.075,19.39,7.104,9.67
"2019-12-14 07:00:00",61,12.85,7.965,9.79,65.93,0.127,21.72,0.053,18.29,7.733,6.826,0,0.1,20.56,0.075,19.38,6.591,9.5
