"TOA5","Pinyon1","CR1000X","12170","CR1000X.Std.03.02","CPU:PinyonSensorsDec11.CR1X","6924","Table1"
"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","AirTC_Avg","RH","VW_Avg","PA_uS_Avg","VW_2_Avg","PA_uS_2_Avg","T107_C_Avg","T107_C_2_Avg","Rain_mm_Tot","VW_3_Avg","PA_uS_3_Avg","VW_4_Avg","PA_uS_4_Avg","T107_C_3_Avg","T107_C_4_Avg"
"TS","RN","Volts","Deg C","Deg C","%","","uSec","","uSec","Deg C","Deg C","mm","","uSec","","uSec","Deg C","Deg C"
"","","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-12-12 16:00:00",0,12.86,21.57,14,38.78,0.081,19.68,0.123,21.57,15.71,12.95,0,0.082,19.73,0.135,22.05,16.35,14.21
"2019-12-12 17:00:00",1,12.89,20.24,12.3,54.4,0.08,19.65,0.124,21.57,14.28,12.92,0,0.081,19.7,0.135,22.06,14.89,13.97
"2019-12-12 18:00:00",2,12.85,14.65,8.15,60.36,0.079,19.61,0.123,21.56,11.78,12.31,0,0.08,19.65,0.135,22.05,12.39,13.17
"2019-12-12 19:00:00",3,12.84,11.47,6.978,62.71,0.079,19.59,0.123,21.55,9.91,11.37,0,0.079,19.61,0.134,22.02,10.43,12.14
"2019-12-12 20:00:00",4,12.83,9.27,6.518,65.42,0.079,19.57,0.123,21.54,8.56,10.48,0,0.079,19.58,0.134,22,9.05,11.2
"2019-12-12 21:00:00",5,12.82,7.671,6.261,64.71,0.078,19.56,0.122,21.52,7.535,9.7,0,0.078,19.55,0.133,21.97,8.01,10.41
"2019-12-12 22:00:00",6,12.81,6.469,6.97,47.58,0.078,19.55,0.122,21.51,6.728,9.02,0,0.078,19.53,0.133,21.95,7.209,9.74
"2019-12-12 23:00:00",7,12.8,5.919,7.783,54.19,0.078,19.54,0.122,21.5,6.154,8.45,0,0.077,19.51,0.132,21.94,6.643,9.17
"2019-12-13 00:00:00",8,12.79,5.173,8.37,46.42,0.078,19.53,0.122,21.49,5.669,7.966,0,0.077,19.5,0.132,21.92,6.175,8.71
"2019-12-13 01:00:00",9,12.79,4.738,8.97,41.56,0.078,19.53,0.121,21.48,5.306,7.552,0,0.077,19.48,0.132,21.9,5.846,8.31
"2019-12-13 02:00:00",10,12.78,4.846,10.43,48.98,0.078,19.52,0.121,21.48,5.12,7.218,0,0.076,19.47,0.131,21.89,5.678,7.997
"2019-12-13 03:00:00",11,12.78,4.973,11.38,41.52,0.077,19.52,0.121,21.47,4.938,6.95,0,0.076,19.47,0.131,21.88,5.505,7.742
"2019-12-13 04:00:00",12,12.77,7.036,14.05,37.99,0.078,19.53,0.121,21.46,5.23,6.784,0,0.076,19.47,0.131,21.87,5.796,7.583
"2019-12-13 05:00:00",13,12.77,8.4,14.31,42.1,0.078,19.54,0.121,21.46,5.691,6.809,0,0.076,19.47,0.131,21.87,6.271,7.611
"2019-12-13 06:00:00",14,12.77,7.945,13.55,41.92,0.078,19.53,0.121,21.46,5.734,6.86,0,0.076,19.47,0.131,21.87,6.311,7.656
"2019-12-13 07:00:00",15,12.77,6.824,11.62,45.18,0.078,19.53,0.121,21.46,5.436,6.821,0,0.076,19.46,0.131,21.86,6.017,7.614
"2019-12-13 08:00:00",16,13.05,8.23,13.71,32.77,0.078,19.53,0.121,21.45,5.211,6.656,0,0.076,19.46,0.13,21.86,5.825,7.454
"2019-12-13 09:00:00",17,14.14,15.8,15.87,31.38,0.078,19.53,0.121,21.45,5.862,6.645,0,0.076,19.47,0.13,21.85,6.723,7.42
"2019-12-13 10:00:00",18,14.12,20.05,17.77,31.95,0.078,19.56,0.121,21.46,8.24,7.191,0,0.078,19.53,0.131,21.87,10.42,8.14
"2019-12-13 11:00:00",19,14.08,21.12,20.61,29.3,0.079,19.59,0.121,21.47,11.35,8.42,0,0.079,19.6,0.132,21.91,14.04,9.78
"2019-12-13 12:00:00",20,13.65,22,20.81,31.07,0.08,19.63,0.122,21.49,14.08,9.97,0,0.081,19.66,0.133,21.95,16.73,11.61
"2019-12-13 13:00:00",21,13.63,23.1,21.28,29.55,0.08,19.66,0.122,21.52,16.31,11.55,0,0.082,19.72,0.134,22,18.59,13.28
"2019-12-13 14:00:00",22,13.6,23.88,21.15,30.73,0.081,19.67,0.123,21.55,17.75,12.94,0,0.082,19.75,0.135,22.04,19.67,14.63
"2019-12-13 15:00:00",23,13.59,24.28,20.59,32.63,0.081,19.67,0.123,21.57,18.22,13.97,0,0.082,19.75,0.136,22.08,19.63,15.53
"2019-12-13 16:00:00",24,13.56,24.17,18.59,40.82,0.08,19.65,0.124,21.59,17.59,14.48,0,0.082,19.73,0.136,22.09,18.38,15.74
"2019-12-13 17:00:00",25,13.26,20.94,15.42,53.51,0.079,19.61,0.124,21.59,15.77,14.39,0,0.081,19.68,0.136,22.09,16.55,15.41
"2019-12-13 18:00:00",26,13.12,16.7,13.39,56.04,0.079,19.57,0.124,21.58,13.53,13.73,0,0.08,19.63,0.136,22.07,14.41,14.63
"2019-12-13 19:00:00",27,13.09,14.32,13.05,55.79,0.078,19.55,0.123,21.56,11.86,12.85,0,0.079,19.59,0.135,22.04,12.81,13.72
"2019-12-13 20:00:00",28,13.07,12.96,12.42,54.92,0.078,19.53,0.123,21.55,10.79,12.06,0,0.078,19.57,0.134,22.02,11.79,12.94
"2019-12-13 21:00:00",29,13.06,12.03,13.05,54.7,0.078,19.53,0.123,21.54,10,11.4,0,0.078,19.55,0.134,22,11.04,12.31
"2019-12-13 22:00:00",30,13.05,11.24,13.61,51.55,0.077,19.51,0.122,21.53,9.41,10.86,0,0.078,19.53,0.133,21.98,10.45,11.81
"2019-12-13 23:00:00",31,13.04,10.81,13.82,53.07,0.077,19.51,0.122,21.52,8.95,10.4,0,0.077,19.51,0.133,21.96,9.94,11.36
"2019-12-14 00:00:00",32,13.03,10.43,12.93,57.53,0.077,19.5,0.122,21.51,8.62,10.03,0,0.077,19.5,0.133,21.95,9.55,10.99
"2019-12-14 01:00:00",33,13.02,9.68,12.27,64.25,0.077,19.5,0.122,21.5,8.21,9.7,0,0.077,19.49,0.132,21.94,9.09,10.65
"2019-12-14 02:00:00",34,13.01,8.89,10.79,64.96,0.077,19.49,0.122,21.49,7.785,9.37,0,0.077,19.48,0.132,21.93,8.67,10.31
"2019-12-14 03:00:00",35,13.01,8.65,11.01,64.9,0.077,19.49,0.121,21.48,7.507,9.05,0,0.076,19.47,0.132,21.92,8.44,10.01
"2019-12-14 04:00:00",36,13,8.39,11.37,60.5,0.077,19.49,0.121,21.48,7.355,8.81,0,0.076,19.46,0.132,21.91,8.29,9.79
"2019-12-14 05:00:00",37,12.99,8.46,11.66,63.89,0.077,19.48,0.121,21.47,7.259,8.61,0,0.076,19.45,0.131,21.9,8.18,9.6
"2019-12-14 06:00:00",38,12.99,8.09,10.61,65.31,0.077,19.48,0.121,21.46,7.088,8.46,0,0.076,19.44,0.131,21.89,7.976,9.45
"2019-12-14 07:00:00",39,12.99,7.501,10.73,63.56,0.077,19.48,0.121,21.46,6.718,8.25,0,0.076,19.43,0.131,21.88,7.565,9.23
"2019-12-14 08:00:00",40,13.59,8.76,11.65,59.37,0.077,19.48,0.121,21.45,6.644,8.03,0,0.076,19.43,0.131,21.87,7.557,9.01
"2019-12-14 09:00:00",41,14.3,14.56,14.24,49.1,0.077,19.49,0.121,21.45,7.466,8.03,0,0.076,19.45,0.131,21.87,8.6,9.01
"2019-12-14 10:00:00",42,14,17.58,15.3,49.36,0.077,19.52,0.121,21.46,9.76,8.59,0,0.077,19.5,0.131,21.88,11.89,9.72
"2019-12-14 11:00:00",43,13.82,17.11,15.05,53.96,0.078,19.54,0.121,21.47,11.91,9.68,0,0.078,19.54,0.132,21.91,14.26,11.07
"2019-12-14 12:00:00",44,13.78,18.16,14.93,39.31,0.078,19.56,0.121,21.48,13.68,10.78,0,0.079,19.58,0.132,21.94,16.05,12.32
"2019-12-14 13:00:00",45,13.76,18.93,15.52,32.57,0.079,19.59,0.122,21.5,15.56,11.92,0,0.08,19.62,0.133,21.97,17.61,13.53
"2019-12-14 14:00:00",46,13.76,19.03,12.87,61.06,0.079,19.6,0.122,21.52,16.63,12.98,0,0.08,19.65,0.134,22,18.26,14.54
"2019-12-14 15:00:00",47,13.75,19.07,11.88,56.02,0.079,19.59,0.123,21.54,16.8,13.7,0,0.08,19.65,0.134,22.02,17.98,15.13
"2019-12-14 16:00:00",48,13.7,20.17,10.78,55.72,0.078,19.56,0.123,21.55,16.12,13.97,0,0.08,19.63,0.135,22.03,16.73,15.14
"2019-12-14 17:00:00",49,13.29,17.39,9.02,61.97,0.078,19.53,0.123,21.55,14.84,13.85,0,0.079,19.6,0.135,22.03,15.49,14.82
"2019-12-14 18:00:00",50,13.17,13.49,8.29,65.91,0.077,19.51,0.123,21.54,13.03,13.33,0,0.078,19.55,0.134,22.01,13.79,14.2
"2019-12-14 19:00:00",51,13.13,11.45,7.712,70.72,0.077,19.49,0.122,21.53,11.6,12.61,0,0.077,19.52,0.134,21.99,12.42,13.45
"2019-12-14 20:00:00",52,13.11,9.85,7.126,73.1,0.076,19.47,0.122,21.51,10.47,11.91,0,0.077,19.49,0.133,21.96,11.29,12.75
"2019-12-14 21:00:00",53,13.1,8.27,6.411,80.6,0.076,19.45,0.122,21.5,9.39,11.22,0,0.076,19.47,0.132,21.94,10.13,12.06
"2019-12-14 22:00:00",54,13.08,7.664,6.424,72.18,0.076,19.45,0.121,21.48,8.75,10.57,0,0.076,19.45,0.132,21.92,9.51,11.42
"2019-12-14 23:00:00",55,13.07,7.655,6.969,72.78,0.076,19.45,0.121,21.47,8.67,10.15,0,0.076,19.44,0.132,21.9,9.46,11.01
"2019-12-15 00:00:00",56,13.06,7.191,6.776,63.6,0.076,19.44,0.121,21.47,8.42,9.88,0,0.076,19.43,0.131,21.89,9.15,10.75
"2019-12-15 01:00:00",57,13.06,6.741,6.641,61.01,0.076,19.43,0.121,21.46,7.961,9.56,0,0.075,19.42,0.131,21.88,8.66,10.44
"2019-12-15 02:00:00",58,13.05,6.487,6.587,62.39,0.075,19.43,0.121,21.45,7.686,9.26,0,0.075,19.41,0.131,21.87,8.41,10.13
"2019-12-15 03:00:00",59,13.04,6.332,6.546,60.94,0.076,19.43,0.121,21.44,7.533,9.01,0,0.075,19.4,0.13,21.86,8.28,9.89
"2019-12-15 04:00:00",60,13.04,6.208,6.394,63.04,0.075,19.43,0.12,21.44,7.443,8.82,0,0.075,19.4,0.13,21.85,8.21,9.71
"2019-12-15 05:00:00",61,13.03,6.015,6.056,61.99,0.075,19.42,0.12,21.43,7.348,8.68,0,0.075,19.39,0.13,21.84,8.11,9.57
