"TOA5","Pinyon3","CR1000X","12171","CR1000X.Std.03.02","CPU:PinyonSensorsDec11.CR1X","539","Table2"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Min","PTemp_C_TMn","PTemp_C_Max","PTemp_C_TMx","AirTC_Max","AirTC_TMx","AirTC_Min","AirTC_TMn","RH_Max","RH_TMx","RH_Min","RH_TMn"
"TS","RN","Volts","Deg C","","Deg C","","Deg C","","Deg C","","%","","%",""
"","","Min","Min","TMn","Max","TMx","Max","TMx","Min","TMn","Max","TMx","Min","TMn"
"2019-12-12 00:00:00",0,12.85,4.399,"2019-12-11 23:00:00",13.08,"2019-12-11 17:10:00",6.629,"2019-12-11 23:30:00",3.54,"2019-12-11 18:10:00",66.56,"2019-12-11 19:20:00",46.5,"2019-12-11 23:30:00"
"2019-12-13 00:00:00",1,12.83,3.036,"2019-12-12 07:10:00",29.99,"2019-12-12 11:40:00",15.45,"2019-12-12 09:40:00",3.355,"2019-12-12 06:20:00",69.53,"2019-12-12 20:00:00",25.76,"2019-12-12 09:40:00"
"2019-12-14 00:00:00",2,12.84,4.957,"2019-12-13 02:30:00",30.88,"2019-12-13 11:50:00",21.09,"2019-12-13 13:40:00",6.43,"2019-12-13 00:30:00",61.78,"2019-12-13 23:50:00",27.05,"2019-12-13 10:10:00"
"2019-12-15 00:00:00",3,12.85,7.299,"2019-12-15 00:00:00",26.77,"2019-12-14 12:40:00",15.53,"2019-12-14 12:20:00",5.481,"2019-12-14 21:20:00",85,"2019-12-14 21:20:00",30.4,"2019-12-14 12:50:00"
"2019-12-16 00:00:00",4,12.84,-0.355,"2019-12-16 00:00:00",25.16,"2019-12-15 12:30:00",10.37,"2019-12-15 13:40:00",-2.123,"2019-12-15 23:10:00",69.46,"2019-12-15 00:20:00",20.92,"2019-12-15 15:10:00"
"2019-12-17 00:00:00",5,12.82,-1.615,"2019-12-17 00:00:00",23.29,"2019-12-16 12:00:00",7.139,"2019-12-16 13:30:00",-2.594,"2019-12-16 21:30:00",56.77,"2019-12-16 00:20:00",23.21,"2019-12-16 12:20:00"
"2019-12-18 00:00:00",6,12.8,-6.122,"2019-12-17 07:20:00",19.66,"2019-12-17 12:10:00",6.578,"2019-12-17 12:40:00",-5.245,"2019-12-17 06:00:00",49.46,"2019-12-17 02:10:00",12.08,"2019-12-17 12:50:00"
"2019-12-19 00:00:00",7,12.8,-6.92,"2019-12-18 07:00:00",19.93,"2019-12-18 12:00:00",8.66,"2019-12-18 11:50:00",-5.037,"2019-12-18 06:20:00",49.41,"2019-12-18 20:40:00",13.19,"2019-12-18 11:50:00"
"2019-12-20 00:00:00",8,12.79,-4.643,"2019-12-19 02:50:00",29.02,"2019-12-19 11:40:00",11.14,"2019-12-19 12:00:00",-2.84,"2019-12-19 02:30:00",58.19,"2019-12-19 06:50:00",17.05,"2019-12-19 10:50:00"
"2019-12-21 00:00:00",9,12.81,-2.013,"2019-12-20 06:50:00",29.03,"2019-12-20 12:00:00",13.76,"2019-12-20 12:30:00",-0.514,"2019-12-20 05:20:00",44.55,"2019-12-20 05:20:00",14.14,"2019-12-20 12:20:00"
"2019-12-22 00:00:00",10,12.81,-1.51,"2019-12-21 06:40:00",24.81,"2019-12-21 13:20:00",13.85,"2019-12-21 12:50:00",0.541,"2019-12-21 03:50:00",46.57,"2019-12-21 17:00:00",18.29,"2019-12-21 12:00:00"
"2019-12-23 00:00:00",11,12.81,2.847,"2019-12-22 04:20:00",14.06,"2019-12-22 14:20:00",11.39,"2019-12-22 14:10:00",3.659,"2019-12-22 18:50:00",46.79,"2019-12-22 18:50:00",12.88,"2019-12-22 04:50:00"
"2019-12-24 00:00:00",12,12.81,3.038,"2019-12-23 21:20:00",8.77,"2019-12-23 10:10:00",8.01,"2019-12-23 00:40:00",1.473,"2019-12-23 12:10:00",95.3,"2019-12-23 16:30:00",19.68,"2019-12-23 03:20:00"
"2019-12-25 00:00:00",13,12.81,1.262,"2019-12-24 06:50:00",20.16,"2019-12-24 11:50:00",7.743,"2019-12-24 11:00:00",0.298,"2019-12-24 23:30:00",94.5,"2019-12-24 05:00:00",43.46,"2019-12-24 14:00:00"
"2019-12-26 00:00:00",14,12.8,0.708,"2019-12-25 07:20:00",10.34,"2019-12-25 10:40:00",3.885,"2019-12-25 11:40:00",0.1,"2019-12-25 07:00:00",92.6,"2019-12-25 19:10:00",64.77,"2019-12-25 11:50:00"
"2019-12-27 00:00:00",15,12.79,0.846,"2019-12-27 00:00:00",5.858,"2019-12-26 14:40:00",2.489,"2019-12-26 01:00:00",-0.953,"2019-12-26 17:20:00",96,"2019-12-26 12:10:00",71.71,"2019-12-26 01:00:00"
"2019-12-28 00:00:00",16,12.79,-2.112,"2019-12-28 00:00:00",22.3,"2019-12-27 12:40:00",6.764,"2019-12-27 13:00:00",-2.33,"2019-12-27 23:50:00",91,"2019-12-27 02:40:00",42.48,"2019-12-27 12:50:00"
"2019-12-29 00:00:00",17,12.79,-4.555,"2019-12-28 06:30:00",23.19,"2019-12-28 11:30:00",7.176,"2019-12-28 14:50:00",-2.916,"2019-12-28 04:00:00",74.95,"2019-12-28 20:30:00",24.94,"2019-12-28 10:50:00"
"2019-12-30 00:00:00",18,12.79,-4.073,"2019-12-29 07:20:00",19.29,"2019-12-29 11:30:00",5.502,"2019-12-29 11:10:00",-4.333,"2019-12-29 06:10:00",82.7,"2019-12-29 23:20:00",43.19,"2019-12-29 08:10:00"
"2019-12-31 00:00:00",19,12.79,-1.127,"2019-12-30 07:10:00",11.05,"2019-12-30 14:00:00",5.158,"2019-12-30 13:40:00",-2.413,"2019-12-30 06:30:00",93.9,"2019-12-30 19:20:00",39.21,"2019-12-30 12:40:00"
"2020-01-01 00:00:00",20,12.79,0.113,"2020-01-01 00:00:00",26.32,"2019-12-31 12:40:00",10.68,"2019-12-31 15:30:00",0.548,"2019-12-31 21:50:00",82.3,"2019-12-31 00:10:00",30.47,"2019-12-31 15:30:00"
"2020-01-02 00:00:00",21,12.8,-1.961,"2020-01-01 04:10:00",28.36,"2020-01-01 11:30:00",14.66,"2020-01-01 12:30:00",0.047,"2020-01-01 01:50:00",63.66,"2020-01-01 19:40:00",15.7,"2020-01-01 10:30:00"
"2020-01-03 00:00:00",22,12.8,1.265,"2020-01-02 07:30:00",27.56,"2020-01-02 11:40:00",12.84,"2020-01-02 14:40:00",1.942,"2020-01-02 07:00:00",65.13,"2020-01-02 07:00:00",21.02,"2020-01-02 14:30:00"
"2020-01-04 00:00:00",23,12.8,1.079,"2020-01-03 06:40:00",31.52,"2020-01-03 11:30:00",15.99,"2020-01-03 11:30:00",2.589,"2020-01-03 20:30:00",59.74,"2020-01-03 19:10:00",19.3,"2020-01-03 10:40:00"
"2020-01-05 00:00:00",24,12.8,1.263,"2020-01-04 01:40:00",32.96,"2020-01-04 12:50:00",17.51,"2020-01-04 13:00:00",1.736,"2020-01-05 00:00:00",59.13,"2020-01-05 00:00:00",14.62,"2020-01-04 14:10:00"
"2020-01-06 00:00:00",25,12.8,-0.554,"2020-01-05 07:30:00",32.16,"2020-01-05 12:20:00",16.01,"2020-01-05 12:20:00",0.284,"2020-01-05 02:00:00",62.26,"2020-01-05 02:00:00",14.94,"2020-01-05 14:30:00"
"2020-01-07 00:00:00",26,12.8,-0.09,"2020-01-07 00:00:00",30.59,"2020-01-06 12:50:00",15.37,"2020-01-06 13:40:00",0.663,"2020-01-06 21:10:00",37.36,"2020-01-06 21:10:00",7.98,"2020-01-06 13:30:00"
"2020-01-08 00:00:00",27,12.79,-2.974,"2020-01-07 07:00:00",30.54,"2020-01-07 12:10:00",14.8,"2020-01-07 12:30:00",-0.672,"2020-01-07 03:00:00",38.65,"2020-01-07 17:50:00",12.26,"2020-01-07 09:30:00"
"2020-01-09 00:00:00",28,12.8,2.937,"2020-01-09 00:00:00",30.2,"2020-01-08 11:40:00",13.74,"2020-01-08 12:20:00",1.033,"2020-01-08 21:00:00",78.82,"2020-01-08 22:10:00",11.95,"2020-01-08 11:50:00"
"2020-01-10 00:00:00",29,12.78,0.556,"2020-01-09 20:40:00",13.59,"2020-01-09 09:30:00",6.717,"2020-01-09 12:50:00",-0.728,"2020-01-09 20:10:00",89.6,"2020-01-09 16:20:00",32.05,"2020-01-10 00:00:00"
"2020-01-11 00:00:00",30,12.77,-2.233,"2020-01-10 05:50:00",26.09,"2020-01-10 12:30:00",11.28,"2020-01-10 14:50:00",-1.296,"2020-01-10 05:10:00",48.2,"2020-01-10 04:50:00",12.37,"2020-01-10 09:40:00"
"2020-01-12 00:00:00",31,12.79,-0.436,"2020-01-11 00:10:00",28.53,"2020-01-11 12:40:00",13.43,"2020-01-11 11:40:00",-0.164,"2020-01-11 22:50:00",63.61,"2020-01-11 19:10:00",10.75,"2020-01-11 05:10:00"
"2020-01-13 00:00:00",32,12.77,-3.424,"2020-01-12 07:20:00",26.43,"2020-01-12 11:00:00",12.56,"2020-01-12 14:50:00",-2.169,"2020-01-12 00:30:00",68.43,"2020-01-12 00:30:00",28.29,"2020-01-12 15:20:00"
"2020-01-14 00:00:00",33,12.79,0.55,"2020-01-13 23:40:00",30.37,"2020-01-13 12:20:00",14.04,"2020-01-13 11:40:00",-1.194,"2020-01-13 20:00:00",72.99,"2020-01-13 20:00:00",10,"2020-01-13 04:40:00"
"2020-01-15 00:00:00",34,12.79,0.878,"2020-01-14 00:10:00",28.75,"2020-01-14 11:40:00",17.45,"2020-01-14 12:50:00",3.24,"2020-01-14 07:00:00",54.29,"2020-01-14 06:40:00",3.152,"2020-01-14 18:20:00"
"2020-01-16 00:00:00",35,12.79,0.992,"2020-01-16 00:00:00",29.75,"2020-01-15 12:00:00",13.25,"2020-01-15 13:40:00",0.666,"2020-01-15 22:00:00",58.02,"2020-01-15 22:10:00",6.252,"2020-01-15 00:50:00"
"2020-01-17 00:00:00",36,12.78,0.554,"2020-01-16 02:00:00",33,"2020-01-16 12:00:00",14.66,"2020-01-16 14:20:00",1.62,"2020-01-16 22:30:00",80.9,"2020-01-16 20:20:00",11.42,"2020-01-16 14:20:00"
"2020-01-18 00:00:00",37,12.78,-0.751,"2020-01-18 00:00:00",25.45,"2020-01-17 11:20:00",8.92,"2020-01-17 13:20:00",-1.984,"2020-01-17 22:20:00",81.8,"2020-01-17 18:50:00",47.08,"2020-01-17 13:30:00"
"2020-01-19 00:00:00",38,12.77,-3.016,"2020-01-18 07:10:00",26.54,"2020-01-18 11:30:00",11.87,"2020-01-18 14:10:00",-2.083,"2020-01-18 03:40:00",57.58,"2020-01-18 03:40:00",12.09,"2020-01-18 15:40:00"
"2020-01-20 00:00:00",39,12.77,-0.315,"2020-01-19 07:10:00",27.72,"2020-01-19 11:40:00",15.43,"2020-01-19 13:40:00",1.517,"2020-01-19 04:10:00",34.06,"2020-01-19 19:20:00",14.8,"2020-01-19 13:20:00"
